date,vendor,item,quantity,unit,unit_price
2026-05-04,Sysco,Chicken Breast 40lb case,4,case,96.00
2026-05-04,Sysco,Tomatoes 25lb,3,case,24.00
2026-05-06,US Foods,Mozzarella 5lb,6,each,18.50
2026-05-06,US Foods,Fryer Oil 35lb,2,each,40.00
2026-05-11,Sysco,Chicken Breast 40lb case,4,case,96.00
2026-05-18,Sysco,Chicken Breast 40lb case,5,case,99.00
2026-05-18,Sysco,Tomatoes 25lb,3,case,23.50
2026-05-20,US Foods,Mozzarella 5lb,6,each,18.50
2026-05-25,Sysco,Chicken Breast 40lb case,4,case,101.00
2026-06-01,Sysco,Chicken Breast 40lb case,4,case,104.00
2026-06-01,Sysco,Tomatoes 25lb,3,case,24.00
2026-06-03,US Foods,Mozzarella 5lb,6,each,22.75
2026-06-03,US Foods,Fryer Oil 35lb,2,each,42.00
2026-06-08,Sysco,Chicken Breast 40lb case,5,case,106.00
2026-06-08,Sysco,Truffle Oil 500ml,1,each,38.00